"variable","1","2","3","4"
"burden_CO2_national",11.1477703587874,9.31963366522656,8.3960889844295,9.80344650306384
"log_expenditures",9.19576995199644,7.92483138860716,7.51650528483654,8.02917683643056
"pro_westerncape",0.319263363754889,0.0481567585519761,0.0132669983416252,0.0644753476611884
"pro_easterncape",0.0880052151238592,0.134091663899037,0.193477059148701,0.0739570164348925
"pro_northerncape",0.0901238591916558,0.0497343075390236,0.0276395798783858,0.06826801517067
"pro_freestate",0.0735006518904824,0.12022583859183,0.0464344941956882,0.0670037926675095
"pro_kwazulunatal",0.104465449804433,0.157339754234474,0.205085682697623,0.257901390644753
"pro_northwest",0.0555736636245111,0.113583527067419,0.0621890547263682,0.0480404551201011
"pro_gauteng",0.177803129074316,0.140235802059117,0.0522388059701493,0.173830594184576
"pro_mpumalanga",0.0539439374185137,0.122633676519429,0.109452736318408,0.101137800252844
"pro_limpopo",0.0373207301173403,0.113998671537695,0.290215588723051,0.145385587863464
"urb_urban_formal",0.899608865710561,0.481899701095981,0.127971254836926,0.510745891276865
"urb_urban_informal",0.0120599739243807,0.0931584191298572,0.0851299060254284,0.079646017699115
"urb_rural_traditional",0.0469361147327249,0.401693789438725,0.709231619679381,0.371049304677623
"urb_rural_formal",0.0413950456323338,0.0232480903354367,0.0776672194582642,0.038558786346397
"gender_male",0.736473272490222,0.48754566589173,0.466003316749585,0.532237673830594
"gender_female",0.263526727509778,0.51245433410827,0.533996683250415,0.467762326169406
"eth_africanblack",0.373859191655802,0.982148787778147,0.976229961304588,0.847029077117573
"eth_coloured",0.33735332464146,0.0155264031883095,0.0221116639027087,0.0967130214917826
"eth_indian_asian",0.0620925684485007,0.00207572235137828,0.000552791597567717,0.0214917825537295
"eth_white",0.226694915254237,0.000249086682165394,0.00110558319513543,0.0347661188369153
"edu_preprimary",0.00162972620599739,0.00365327133842577,0.00773908236594804,0.00379266750948167
"edu_primary",0.0342242503259452,0.102208568581866,0.169430624654505,0.0960809102402023
"edu_lower_secondary",0.0858865710560626,0.166140817004318,0.199557766721946,0.127054361567636
"edu_upper_secondary",0.524119947848761,0.54109930255729,0.334162520729685,0.538558786346397
"edu_postsecondary_nontertiary",0.160365058670143,0.051893058784457,0.0135433941404091,0.06826801517067
"edu_shortcycle_tertiary",0.0505215123859192,0.00647625373630023,0.00138197899391929,0.0139064475347661
"edu_bachelor_eq",0.0999022164276402,0.00830288940551312,0.00138197899391929,0.0195954487989886
"edu_master_eq",0.019393741851369,0.000415144470275656,0.000276395798783858,0.00126422250316056
"edu_other",0.00488917861799218,0.0037363002324809,0.00221116639027087,0.00316055625790139
"edu_no_schooling",0.0190677966101695,0.116074393889073,0.270315091210614,0.128318584070796
"veh_own",0.760430247718383,0.0553802723347725,0.0558319513543394,0.00189633375474083
"veh_other",0,0,0.0442233278054174,0.987989886219975
"veh_noaccess",0.239569752281617,0.944619727665228,0.899944720840243,0.0101137800252845
"sto_own",0.920143415906128,0.884423779475257,0.611111111111111,0.804045512010114
"sto_other",0,0,0.0442233278054174,0.987989886219975
"sto_noaccess",0.0270534550195567,0.081036200597808,0.347982310668878,0.0353982300884956
"elec_mains",0.973109517601043,0.944370640983062,0.530679933665008,0.932996207332491
"elec_other",0.026890482398957,0.0556293590169379,0.0320619126589276,0.0651074589127686
"elec_solar",0,0,0.00884466556108347,0
"elec_noaccess",0,0,0.428413488114981,0.00189633375474083
"elecf_free",0.13771186440678,0.239372301560943,0.0925925925925926,0.214917825537295
"elecf_nofree",0.832627118644068,0.72459315841913,0.470425649530127,0.735145385587863
"light_elecmains",0.998207301173403,0.998837595483228,0.529850746268657,0.970290771175727
"light_elecother",0.000162972620599739,8.30288940551312e-05,0.0129906025428413,0
"light_other",0.000325945241199478,8.30288940551312e-05,0.00414593698175788,0.027180783817952
"light_paraffin",0.000325945241199478,8.30288940551312e-05,0.0865118850193477,0.000632111251580278
"light_candles",0.000651890482398957,0.000830288940551312,0.346323935876175,0.00189633375474083
"light_solar",0.000325945241199478,8.30288940551312e-05,0.0201768933112217,0
"cooking_elecmains",0.936929595827901,0.949103287944205,0.0080154781647319,0.835018963337547
"cooking_elecother",0.000488917861799218,0.000415144470275656,0.0113322277501382,0
"cooking_gas",0.0593220338983051,0.0111258718033876,0.0514096185737977,0.0170670037926675
"cooking_paraffin",0.000488917861799218,0.00597808037196945,0.19845218352681,0.0056890012642225
"cooking_coal",0.000162972620599739,0.00614413816007971,0.00773908236594804,0.00189633375474083
"cooking_wood",0.00244458930899609,0.0261541016273663,0.702598120508568,0.110619469026549
"cooking_dung",0.000162972620599739,0.000415144470275656,0.0118850193477059,0.00189633375474083
"cooking_solar",0,0.000498173364330787,0.00359314538419016,0.00126422250316056
"cooking_other",0,0.000166057788110262,0.00110558319513543,0.0265486725663717
"cooking_noaccess",0,0,0.00386954118297402,0
"heat_w_elecmains",0.977672750977836,0.954915310528064,0.0135433941404091,0.845132743362832
"heat_w_elecother",0.000162972620599739,8.30288940551312e-05,0.0107794361525705,0
"heat_w_gas",0.00733376792698827,0.00448356027897708,0.0433941404090658,0.00821744627054362
"heat_w_paraffin",0.00146675358539765,0.00556293590169379,0.186290768380321,0.00632111251580278
"heat_w_coal",0.000162972620599739,0.0053138492195284,0.00856826976229961,0.00189633375474083
"heat_w_wood",0.00195567144719687,0.0244104948522086,0.71558872305141,0.106194690265487
"heat_w_dung",0,0.00124543341082697,0.0113322277501382,0.00126422250316056
"heat_w_solar",0.0110821382007823,0.0039853869146463,0.00552791597567717,0.00442477876106195
"heat_w_other",0.000162972620599739,0,0.00138197899391929,0.0265486725663717
"heat_w_noaccess",0,0,0.00359314538419016,0
"heat_s_elecmains",0.688885267275098,0.440800398538691,0.00939745715865119,0.458912768647282
"heat_s_elecother",0.00146675358539765,0.000415144470275656,0.00414593698175788,0
"heat_s_gas",0.0448174706649283,0.00655928263035536,0.0080154781647319,0.0107458912768647
"heat_s_paraffin",0.0329204693611473,0.106360013284623,0.0732448866777225,0.0524652338811631
"heat_s_coal",0.00423728813559322,0.0223347725008303,0.0182421227197347,0.015802781289507
"heat_s_wood",0.0255867014341591,0.100298904018598,0.59452736318408,0.103666245259166
"heat_s_dung",0.000488917861799218,0.00166057788110262,0.00773908236594804,0.00126422250316056
"heat_s_solar",0.00114080834419817,0.00124543341082697,0.00525152017689331,0.00126422250316056
"heat_s_other",0.00179269882659713,0.00190966456326802,0.00138197899391929,0.0240202275600506
"heat_s_noaccess",0.198663624511082,0.318415808701428,0.278054173576562,0.331858407079646
